TI,AU,PY
HOW DOES A GLOBAL NAVIGATION SATELLITE KNOW WHERE IT IS_ TO TELL YOU WHERE YOU ARE,"WASS, MARTIN",2013
SOTM BY BOAT: MAPPING THE CANALS AND WATERWAYS,"SLADEN, PAUL",2013
API 0.7; OR,"AMOS, THE WHALE,MATT",2013
MAPIT GLOBAL: EASY LOOKUP OF BOUNDARIES IN OSM,"LONGAIR, MARK",2013
INSIDE OVERPASS API,"OLBRICHT, ROLAND",2013
GAMIFYING MAP IMPROVEMENTS,"RETHANS, DERICK",2013
TILEMAN: NEW ALTERNATIVE TO SERVE OSM TILES,"MIURA, HIROSHI",2013
OSM TAGMEMORY: GAMES FOR EDUCATION,"FURUHASHI, TAICHI",2013
OPENSTREETMAP CORE ARCHITECTURE AND DEVOPS,"SLATER, GRANT",2013
HIGH PERFORMANCE OSM DATA MANIPULATION WITH OSMIUM,"TOPF, JOCHEN",2013
THE STATE OF SCOTLAND,"FLEMING, CHRIS",2013
OSMSHARP: UNLEASHING THE BEST OF OSM USING C#/MONO/.NET,"ABELSHAUSEN, BEN",2013
STATE OF THE MAP: SLOVAKIA,"PÁLENÍK, MICHAL",2013
STATE OF WIKIDATA,"FILBERT, KATIE",2013
THE STATE OF IRELAND,"CANTWELL, RICHARD",2013
DATA COHERENCE BETWEEN OSM AND WIKIPEDIA,"CONSONNI, CRISTIAN",2013
EMPOWERING COMMUNITIES THROUGH CITIZEN SCIENCE MAPPING,"GEORGIE, PAUL",2013
“DAD_ WHICH ZOOM LEVEL CORRESPONDS TO ONE INCH TO THREE FURLONGS AGAIN?”: IMPLICIT SCALE IN THE OSM DATASET,"REIMER, ANDREAS",2013
NOMINATIM: BEHIND THE SCENES,"HOFFMANN, SARAH",2013
TOWARDS AN AREA DATATYPE FOR OSM,"TOPF, JOCHEN",2013
PROPOSAL FOR A MOBILE APP PRIZE,"WOOD, HARRY",2013
DIY OSM PBF VECTOR TILES,"RENNER, NORBERT",2013
PROVINCIA DE RÍO NEGRO,"RAFFO, FERNANDO; UMAÑA, FERNANDO JAVIER; CEM, ALUMNOS DEL",2014
THE FOURTEEN-BILLION DOLLAR MAP_ OR CARTOGRAPHY IN A RAPIDLY CHANGING CITY_ AND WHY IT MATTERS,"MUSTARD, AMBASSADOR ALLAN",2016
OPENSTREETMAP ANALYTICS,"GIOVANDO, CRISTIANO",2016
OPENSOLARMAP_ CROWDSOURCING AND MACHINE LEARNING TO CLASSIFY ROOFS,"BLANCARD, MICHEL",2016
NICARAGUA'S NEW CROWD-SOURCED BUS MAP_ LESSONS LEARNT,"MAYORGA, EDUARDO AUGUSTO; DELATTRE, FELIX",2016
A LOVE-LETTER TO OSM_ GREETINGS FROM BRUSSELS,"BRUSSELMAN, PIETER",2016
ENERGISE YOUR COMMUNITY WITH FOCUSED PROJECTS,"PRANGLE, BRIAN",2016
OSM GOES INDOORS_ WHY SNCF TRANSILIEN MAPPED 388 TRAIN STATIONS WITH OPENSTREETMAP,"GUTTON, CYNTHIA",2016
INVESTING IN OSM COMMUNITIES TO BUILD RESILIENCE,"DEPARDAY, VIVIEN",2016
OSM GOES INDOORS_ USAGES,"RICHE, TOOLS AND PROSPECTS,ANTOINE; PAVIE, ADRIEN",2016
VECTOR TILES FROM OPENSTREETMAP,"MARTINELLI, LUKAS",2016
OPEN IMAGERY MATTERS_ REMOTE MAPPING WITH OPENAERIALMAP,"SILVA, DANIEL DA",2016
A MAP OF OPENSTREETMAP,"MARON, MIKEL",2016
STATE OF OSRM,"UHLE, JOHAN",2016
WEEKLYOSM_ WHY HOW WHAT WHERE AND WHERE WE GO,"REITER, MANFRED; BARROSO, LAURA",2016
CONVERTING A REGULAR CARTO PROJECT TO VECTOR TILES_ OSM-CARTO CASE STUDY,"MCCANN, RORY",2016
IS SHE A PART OF YOUR COMMUNITY?,"C, SRRAVYA",2016
SQL ALL THE THINGS_ EXPOSING OSM DATA SERVICES TO POSTGRESQL USERS,"SANZ, JORGE",2016
GARDENING OSM DATA WITH OVERPASS API,"OLBRICHT, ROLAND",2016
TILES UNDER HEAVY ARTILLERY_ SERVING ONE BILLION MAPS PER MONTH,"ORTOLA, LOIC",2016
STATE OF THE LICENCE,"POOLE, SIMON",2016
A STROLL THROUGH THE HIDDEN CORNERS OF TAGINFO,"TOPF, JOCHEN",2016
TRENDING PLACES ON OPENSTREETMAP,"KELLER, STEFAN",2016
THE WORLD WE WANT_ OPENSTREETMAP AND THE SUSTAINABLE DEVELOPMENT GOALS,"RADFORD, TYLER",2016
USING BIG DATA TO HELP US IMPROVE THE MAP,"JANCSO, BEATA",2016
BUILDING LARGE-SCALE CROWDSOURCING COMMUNITIES WITH THE HUMANITARIAN OPENSTREETMAP TEAM,"DITTUS, MARTIN",2016
TRACKING OPENSTREETMAP CHANGES_ MERGING CHANGESET AND METADATA TOGETHER FOR IMPROVED CHANGE TRACKING,"MORIARTY, DYLAN",2016
STATE OF WEST AFRICA,"N'DIAYE, MOHAMET LAMINE; SOUNGALO, DIBLONI INNOCENT",2016
CAMP-MAPPING IN GREECE,"HOFF, HENK",2016
MAPCONTRIB_ THEMATIC OPENSTREETMAP CONTRIBUTION,"AMAT, GUILLAUME",2016
OPENSCHOOLSKENYA,"MUINDI, ZACHARIA",2016
THE MINIMALIST OSM BUILDING EDITOR,"MARSCH, JAN",2016
MAPPING IRELAND'S 61_000 ADMINISTRATIVE BOUNDARIES,"MCCANN, RORY",2016
PORTABLE OSM_ INTO THE DISCONNECTED WILDS,"EROS, EMILY",2016
WATCHING FOR VANDALISM,"ANWAR, SAJJAD",2016
TEACHOSM_ HARNESSING THE POWER OF OPENSTREETMAP FOR GEOGRAPHY EDUCATION,"CAWLEY, MAGGIE",2016
TRACE FROM SPACE_ INTERNATIONAL VERSION,"BULLOCK, KEVIN",2016
MAP IT FORWARD_ INCORPORATING OSM INTO THE UNIVERSITIES CURRICULUM,"HARGYONO, VASANTHI",2016
OPENSTREETMAP US_ THE REAL MCCOY,"PATEL, DRISHTIE; WRIGHT, ALYSSA; DEES, IAN; BARTH, ALEX; EXEL, MARTIJN VAN",2016
OPENSTREETMAP FOR EDUCATIONAL PURPOSES,"BOUËRE, LOUIS-JULIEN DE LA",2016
EMPOWERING WOMEN THROUGH OPENSTREETMAP IN MALI,"SIDIBE, ASTOU NATHALIE",2016
WHAT WHERE... WHEN! LET'S ADD ANOTHER DIMENSION WITH OPENEVENTDATABASE,"QUEST, CHRISTIAN",2016
BUILDING A DIGITAL HUMANITARIAN SOCIETY IN PAKISTAN_ A PERSPECTIVE,"LATIF, USMAN",2016
OSM FOR TRAFFIC SIMULATION,"ZILSKE, MICHAEL",2016
COMPARING OSM DATA AND BRUSSELS LOCAL GOVERNMENT DATA,"DUCOBU, MARC",2016
RAILWAYS AT OPENSTREETMAP,"REICHERT, MICHAEL",2016
CONNECTING THE DOTS,"GANESH, ARUN",2017
OSM IN AIZUWAKAMATSU CITY_ CONSTRUCTION OF A HAZARD MAP,"MEGURO, JUN",2017
MOBILE APP DEVELOPMENT WITH ROUTING AND VOICE NAVIGATION,"MATSUZAWA, TARO",2017
HOW TO BUILD UP AN OSM COMMUNITY,"KUCI, ANISA",2017
MAPPING WITH A TIME DIMENSION,"RAMSHROST, DAAN VAN",2017
NEW OPPORTUNITIES FOR UNDERSTANDING THE ANCIENT COASTLINE,"ANDREOU, GEORGIA MARINA",2017
A NAVIGABLE OSM MAP OF CANADA? SOONER THAN YOU THINK!,"JULIEN, FREDERIC; LAU, BRIAN; EXEL, MARTIJN VAN",2017
CHALLENGES IN GEONAMES AND ADDRESS EXTRACTION,"KELLER, STEFAN",2017
HIGH PRECISION MAPPING WITH STREETLEVEL IMAGERY,"GUPTA, OINDRILA",2017
ONE ROAD GOES A LONG WAY_ MEASURING THE IMPACT OF MAPS ON FIGHTING FGM IN TANZANIA,"RAMANAUSKAITE, EGLE MARIJA",2017
JUNGLE BUS_ PUBLIC TRANSPORT NETWORKS MAPPING MADE EASY,"LAINEZ, FLORIAN",2017
TOTSUKAWA_ AFTER THE HEAVY RAINFALL DISASTER,"NISHIMURA, YUICHIRO",2017
VALIDATING OPENSTREETMAP,"GANESH, ARUN",2017
BEFORE MATURITY COMES PUBERTY,"ZVEREV, ILYA",2017
OSM HISTORY ANALYSIS USING BIG DATA TECHNOLOGY,"RAIFER, MARTIN",2017
THE DIAGRAMS OF OPENSTREETMAP,"WOOD, HARRY",2017
ANALYZING POSITIONAL ACCURACY OF POIS USING SPATIAL ASSOCIATION RULE LEARNING,"KASHIAN, ALIREZA",2017
CHALLENGES OF OPEN DATA IN JAPANESE PUBLIC TRANSPORT,"ITO, MASAKI",2017
TAKING ON RESPONSIBILITY FOR OSM DATA,"KASTL, DANIEL",2017
SENEGAL_ EXTENDING THE USE OF OF OPENSTREETMAP,"NDIAYE, MOHAMET LAMINE",2017
MAPROULETTE_ ONE MILLION CORRECTIONS AND BEYOND,"EXEL, MARTIJN VAN",2017
THE SRI LANKAN GOVERNMENT AND OSM,"SUTHAKARAN, S",2017
AI-ASSISTED ROAD TRACING FOR OPENSTREETMAP,"PATEL, DRISHTIE; GAO, MING",2017
VEHICLE POSITION VISUALIZATION PROJECT IN HEAVY SNOW ZONE,西本浩幸,2017
OPEN SOURCE STREET ADDRESSES,"RINCKES, DOUG",2017
OSM BANGLADESH_ BRINGING SCATTERED OSM ACTIVITIES UNDER SINGLE PLATFORM,"HOQUE, AHASANUL",2017
HACKERS AGAINST NATURAL DISASTERS,"MUSQUET, GAEL; ORTOLA, LOÏC",2017
SOLVING CHALLENGES USING STREET LEVEL IMAGERY IN INDIA,"SHAH, SHRAVAN",2017
MAPCAMPAIGN_ MANAGE LARGE MAPPING PROJECTS WHILE LEVERAGING LOCAL KNOWLEDGE,"UITHOL, PAUL",2017
PIC4CARTO_ PRECISE REMOTE MAPPING WITH OPEN STREET-LEVEL PICTURES,"PAVIE, ADRIEN",2017
京都と東京の月間マッピングパーティー,"YAMASHITA, YASUNARI",2017
MAPPING EFFORTS IN AN UNSURVEYED LAND_ KOORACHUNDU VILLAGE PANCHAYAT EXPERIENCE,"NEDUMPALA, JAISEN",2017
日本の美術館・博物館_図書館フロアガイドにみる空間属性記述の使用傾向––語句のゆらぎとピクトグラムのランキング,阿児雄之,2017
ASK THE AUDIENCE - LIVE POLLING,"NICKERSON, ROB",2017
OPENSTREETMAPデータを用いた触地図自動作成システムの開発 ―縮尺に応じた表示内容変更機能の実装―,"千晴, 馬場",2017
OSM SEEN FROM A GIS RESEARCHER_ EXPERIENCES AND PERSPECTIVES,"MINGHINI, MARCO",2017
TELEMETRY_ GLOBAL TRAFFIC AND OSM,"CHAI, LILY",2017
EFFORT OF CONTRIBUTION OF OSM NIGER,"MAINASSARA, SAMAILA ALIO",2017
OPENSTREETMAP CARTO,"NORMAN, PAUL",2017
STATE OF THE CRISISMAPPING IN JAPAN,"FURUHASHI, TAICHI",2017
OPENSTREETMAP—NOW AND INTO THE FUTURE,"CHAPMAN, KATE; LESON, HEATHER",2018
CAN WE VALIDATE EVERY CHANGE ON OSM?,"(MAPBOX), LUKAS MARTINELLI",2018
MAKING MAPS WITHOUT DATABASE,"SKOWRON, THOMAS",2018
INTERPRETING IMAGERY FOR OPENSTREETMAP,"BLEVINS, CHAD",2018
OPENMAPTILES: VECTOR TILES FROM OPENSTREETMAP,"PRIDAL, PETR; TECHNOLOGIES), JIRI KOMAREK (KLOKAN",2018
QT TO CREATE OSM-BASED APPS,"COMPANY), PAOLO ANGELELLI (THE QT",2018
ADVERTISING MAPPING : USING OPENSTREEPMAP FOR THE PROTECTION OF LANDSCAPE,"CONTRIBUTORS), PAUL DESGRANGES (GRENOBLE (FRANCE) GROUP OF OSM",2018
LARGE SCALE DEEP LEARNING FOR MAP MAKING,"NEGREANU, ALINA; (TELENAV), BOGDAN GLIGA",2018
AN EXCURSION IN TO THE WORLD OF OSM TAGGING PRESETS,"POOLE, SIMON",2018
HOW DEEP LEARNING COULD HELP TO IMPROVE OSM DATA QUALITY ?,"(DATAPINK), OLIVIER COURTIN",2018
ADDRESSING ADDRESSES,"HOFFMANN, SARAH",2018
THE BELGIAN PERSPECTIVE TO BUILDING OPENSTREETMAP COMMUNITY,"ABELSHAUSEN, BEN; BELGIUM), JOOST SCHOUPPE (OPENSTREETMAP",2018
2_ 4_ 6_ 8_ HERE'S HOW WE INTERPOLATE,"(GEOCODE.EARTH), JULIAN SIMIONI",2018
A NEW APPROACH TO GARNER PROLIFIC CONTRIBUTION IN OPENSTREETMAP,"LABS), KSHITIZ KHANAL (KATHMANDU LIVING",2018
OSMAND MAKING LIVE MAPS UPDATE,"(OSMAND), VICTOR SHCHERB",2018
BUILDING UP THE MICROSOFT OPEN MAPS TEAM,"(MICROSOFT), OISIN HERRIOTT",2018
LIES_ DAMNED LIES_ AND OSM STATISTICS,"RAMM, FREDERIK",2018
VERIFYING OUR EDITS,"PETREA, BOGDAN; (TELENAV), ARMIN GHEORGHINA",2018
CORPORATE CARTOGRAPHY: HOW THE SAUSAGE GETS MADE,"NORMAN, PAUL",2018
AN INNOVATIVE APPROACH TO SUPPORT OSM DATA GENERATION,"ROMANIA)), EMANUELA MIHUT (PHD STUDENT (WEST UNIVERSITY OF TIMISOARA,",2018
MAPPING COMPETITION WITH FOCUS ON QUALITY: LESSON LEARNED,"TEAM), YANTISA AKHADI (HUMANITARIAN OPENSTREETMAP",2018
PINPOINTING THE POWER GRID,"SEED), SAJJAD ANWAR (DEVELOPMENT",2018
IMPROVING OSMCHA FOR THE COMMUNITY,"MALHEIRO, WILLE MARCEL LIMA",2018
GET INVOLVED IN THE OPENSTREETMAP FOUNDATION,"MARLER, GREGORY; GROUPS, OSMF WORKING",2018
ALTERNATIVE PERSPECTIVES THROUGH ARTISTIC INTERPRETATIONS,"MEIER, SEBASTIAN; VISLAB, HANS HACK (MAPTIME &; HACK), HANS",2018
WHAT'S UP WITH THE PUBLIC TRANSPORT,"(MAPS.ME), ILYA ZVEREV",2018
COORDINATING IMPROVED COMMUNICATION BETWEEN THE ACADEMIC AND OPENSTREETMAP COMMUNITIES,"MOONEY, PETER; SCHOUPPE, JOOST; OSTERMANN, FRANK",2018
OSM AND THE EUROPEAN AGENDA,"CENTRE), VLADO CETL (EUROPEAN COMMISSION JOINT RESEARCH",2018
THE USE OF OSM IN PUBLIC TRANSPORT IN HELSINKI FINLAND,"(HSL)), MARKKU HUOTARI (HELSINKI REGION TRANSPORT",2018
HUMAN-CENTERED DATA SCIENCE AND OPENSTREETMAP: CONTRIBUTOR-CENTRIC OPENSTREETMAP ANALYSIS INFRASTRUCTURE,"ANDERSON, JENNINGS",2018
SOME LOCATION INTELLIGENCE FROM OSM,"(CARTO), JAAK LAINESTE",2018
COMPREHENSIVE OPENSTREETMAP HISTORY DATA ANALYSES- FOR AND WITH THE OSM COMMUNITY,"AUER, MICHAEL; ECKLE, MELANIE; FENDRICH, SASCHA; KOWATSCH, FABIAN; MARX, SABRINA; RAIFER, MARTIN; SCHOTT, MORITZ; TROILO, RAFAEL; ZIPF, ALEXANDER",2018
FLYING FERRIES AND MOVING PAVEMENTS? PEDESTRIAN ROUTING ON RARE MODES OF TRANSPORT,"RISCHARD, GUILLAUME",2018
INVESTIGATING THE OSM MAPPING PROCESS AFTER DISASTERS: OSMEVENTANALYST AND ITS APPLICATION FOR THE 2016 ITALIAN EARTHQUAKES,"DELUCCHI, LUCA; MINGHINI, MARCO",2018
A TALE OF TWO (MAPPING) CITIES,"SKOWRONNEK, ALSINO; (MAPTIME), MICHELE FERRETTI",2018
OSM COMMUNITY GRANTS: SHARING EXPERIENCES,"TEAM), REBECCA FIRTH (HUMANITARIAN OPENSTREETMAP",2018
WORKING WITH THE COMMUNITY,"INC.), RYAN PETERSON (APPLE,",2018
COMPLETING THE MAP WITH STREET-LEVEL IMAGERY,"(MAPILLARY), CHRISTOPHER BEDDOW",2018
ROAD COMPLETION IN BELGIUM - MAPPING & VERIFYING *ALL* THE ROADS,"BELGIUM), BEN ABELSHAUSEN (OSM",2018
PIC4REVIEW : FUN OSM EDITING BASED ON STREET PICTURES,"GEOMATICS), ADRIEN PAVIE (ENTREPRENEUR IN",2018
GOING TO PRODUCTION WITH OPENSTREEETMAP AT MICROSOFT,"(MICROSOFT), JUBAL HARPSTER",2018
FORM & MAP BASED MOBILE OSM TOOL FOR FIELD SURVEY AND VALIDATION,"INC.), KUO-YU SLAYER CHUANG (GEOTHINGS",2018
SWITCH2OSM: A REAL ENTERPRISE CONTEXT CASE STUDY,"(IMMOBILIARE.IT), ANDREA CAPATA",2018
"THE NEW WHEELMAP: JOINING FORCES IN ACCESSIBILITY MAPPING – FEAT.: ""I WHEEL SHARE""","E.V.), SVENJA HEINECKE (SOZIALHELDEN",2018
MAKING BOT EDITS SAFE AND ACCEPTABLE,"(ELASTIC), YURI ASTRAKHAN",2018
MODDING THE OSM DATA MODEL,"TOPF, JOCHEN",2018
ROBOT TRACERS - EXTRACTION AND CLASSIFICATION AT SCALE USING & CNTK,"(MICROSOFT), NIKOLA TRIFUNOVIC",2018
ENERGY EFFICIENT ROUTING WITH OSM,"BRENSCHEDE, ARNDT",2018
REACHING OUT TO VULNERABLE COMMUNITIES IN TURKEY: BINA PROJECT,"EKER, GÜLŞAH; DERNEĞİ), EZGİ ERYILMAZ (YER ÇİZENLER HERKES İÇİN HARİTACILIK",2018
ATTRACTING STUDENTS WITH GOOGLE SUMMER OF CODE,"KNERR, TOBIAS",2018
OPENROUTESERVICE - ROUTE THE WORLD DYNAMICALLY,"HEIDELBERG), NILS NOLDE (UNIVERSITY OF",2018
OSM ENABLED URBAN MOBILITY SERVICES FOR THE CITY OF YANGON (MYANMAR),"SRL), ROBERTA CASTELLI (5T",2018
ROUTING ON RAILS WITH OPENSTREETMAP,"REICHERT, MICHAEL",2018
COMMUNITY MAPPING FOR REFUGEES IN UGANDA,"(MAPUGANDA), GEOFFREY KATEREGGA",2018
OSM AT FACEBOOK,"(FACEBOOK), DRISHTIE PATEL",2018
DRONEBIRDS ARE GO!,"UNIVERSITY), TAICHI FURUHASHI (AOYAMA GAKUIN",2018
INDONESIA ROAD MAPPING: CHALLENGES AND OPPORTUNITIES,"INDONESIA), WULANSARI KHAIRUNISA (HUMANITARIAN OPENSTREETMAP TEAM",2018
3D BEYOND BUILDINGS,"KNERR, TOBIAS",2018
OPENING,"GROUP, SOTM WORKING",2019
KEYNOTE: OPEN UP! WHY DIGITAL MOBILITY NEEDS PARTICIPATION,"FÖRSTER, CHRISTIAN; SEIFERT, DIETMAR",2019
KEYNOTE,"SANDLER, KAREN M.",2019
GET TO KNOW OSGEO AND HOW OSGEO IS CONNECTED TO OPENSTREETMAP,"EMDE, ASTRID",2019
DATA QUALITY AND FEATURE EXTRACTION AT SCALE WITH ROBOSAT.PINK,"COURTIN, OLIVIER",2019
KEEPIN' IT FRESH (AND GOOD)! - CONTINUOUS INGESTION OF OSM DATA AT FACEBOOK,"VENTULLO, KEVIN; KLAIBER, CHRISTOPHER",2019
HUMAN MAPPING WITH MACHINE DATA,"BEDDOW, CHRISTOPHER; NEERHUT, EDOARDO",2019
DRIVING SOUTH EAST ASIA FORWARD WITH OPENSTREETMAP,"FOFLIA, JINAL",2019
ASSISTED INTELLIGENCE - HOW WE MAP WITH THE SUPPORT OF NEW TECHNOLOGIES,"DELATTRE, FELIX; SINGH, SURABHI",2019
ODBL LICENSE COMPATIBILITY,"LU, KATHLEEN",2019
COMMUNICATION AND KNOWLEDGE TRANSFER IN OSM,"KRÜGER, HANNA",2019
OSMINEDIT: A SIMPLE INDOOR EDITOR,"SONTAG, THOMAS; DIRKS, ANDREAS; GEISSELMANN, HANNES; PAVIE, ADRIEN",2019
PAST AND FUTURE OF THE OSMF MEMBERSHIP WORKING GROUP,"SPRENG, MICHAEL",2019
OBSERVE - OFFLINE;CROSS-PLATFORM FIELD MAPPING TOOL FOR OPENSTREETMAP,"ANWAR, SAJJAD",2019
OSM DATA: FROM DIGITAL TO PHYSICAL DESIGN,"AKHADI, YANTISA",2019
CYCLOSM; A BICYCLE ORIENTED RENDER FOR EVERY CYCLIST,"VERNEY, LUCAS; BERTHOUX, FLORIMOND",2019
VR MAP: USING OSM DATA IN A WEBVR ENVIRONMENT,"KAISER, ROBERT",2019
HOW TO USE OPENSTREETMAP DATA WITH THE DESKTOP GIS QGIS,"EMDE, ASTRID",2019
HIKAR - OSM AUGMENTED REALITY FOR WALKERS ACROSS EUROPE,"WHITELEGG, NICK",2019
FLEXIBLE ROUTING WITH GRAPHHOPPER,"KARICH, PETER",2019
MAPATHON; MAPATHON; MAPATHON!,"MENARD, SÉVERIN; CHAVENT, NICOLAS",2019
IMAGERY SOLUTIONS IN OPENSTREETMAP,"BULLOCK, KEVIN",2019
OSMF LOCAL CHAPTERS IN COUNTRIES OF THE GLOBAL SOUTH WHAT CAN WE LEARN FROM OSM ASSOCIATIONS DYNAMICS IN FRENCH-SPEAKING SOUTHERN COUNTRIES OF AFRICA AND THE CARIBBEAN?,"MENARD, SÉVERIN; CHAVENT, NICOLAS",2019
TALES FROM THE TASKING MANAGER,"RAGUPATHY, RAMYA; MALHEIRO, WILLE MARCEL LIMA; DELATTRE, FELIX",2019
MEET AN OPENSTREETMAPPER,"MARLER, GREGORY",2019
OUR FALKIRK: MITIGATING THE IMPACTS OF POVERTY USING OSM DATA THEMES,"MOON, ALISON",2019
CUSTOMIZING SEARCH FOR SPECIAL-INTEREST MAPS,"HOFFMANN, SARAH",2019
OSM QUALITY MAPPING: METRICS TO MONITOR BUILDINGS OUTBOUNDS,"BÉLAND, PIERRE",2019
IS YOUR OSM APP SPYING ON YOU?,"SKOWRON, THOMAS",2019
BRINGING VALIDATION TO USERS: INTEGRATING QUALITY ASSURANCE CHECKS INTO MAP EDITORS,"GIBB, MATTHEW; ABALOS, CLARISSE",2019
WHAT'S BEHIND JOSM?,"PRIVAT, VINCENT",2019
SPATIAL INDEXES FOR OSM IN POSTGIS,"KUNDE, FELIX",2019
MAPPING SOLAR PANELS CAN SAVE MEGATONS OF CO2,"STOWELL, DAN; CLOUGH, JERRY",2019
NATIONAL TRUST - MANAGING A PATH INVENTORY IN OSM: TOWARDS AN OPEN PATHS STANDARD IN OSM FOR THE UK,"DAVIES, HUW",2019
OSM DATA PROCESSING WITH POSTGRESQL/POSTGIS,"TOPF, JOCHEN",2019
COLLABORATIVE CARTOGRAPHY OF CYCLING INFRASTRUCTURE FOR ROUTE AND THEMATIC MAPS IN MEDELLIN; COLOMBIA,"ESPINOSA, CAROLINA ORTEGA",2019
NOTES: CAN WE DO BETTER. EXPERIENCES AND IDEAS FROM THE FRONTLINE,"FLEMING, CHRIS",2019
MAPPER'S PRIVACY,"OLBRICHT, ROLAND",2019
IS THE OSM DATA MODEL CREAKING?,"LUCAS-SMITH, MARTIN",2019
TEAMS FOR OPENSTREETMAP,"FARRA, MARC",2019
BROKEN PROMISES AND TECHNICAL DIFFICULTIES,"ZVEREV, ILYA",2019
OSMOSE-QA : MAPCSS; OPENDATA AND MAPILLARY,"RODRIGO, FRÉDÉRIC",2019
OSM2WORLD: 3D OSM IN YOUR BROWSER,"KNERR, TOBIAS",2019
THE NEXT GENERATION OF MAPPERS: LEARNING FROM YOUTHMAPPERS,"BERGMANN, JESSICA",2019
OPENSTREETMAP AND WIKIDATA: AWESOME TOGETHER,"VILLAR, EUGENE ALVIN; BETTS, EDWARD",2019
ROUTING FOR HUMANS,"RITTERBUSCH, SEBASTIAN",2019
OPENDATATHON ACTIVITIES IN JAPAN,"ENOKI, SHINJI",2019
MAPPING MOBILITY IN STOCKPORT,"MILSOM, SAM",2019
OPENSTREETMAP IN CROATIA,"BOGNER, HRVOJE",2019
CARETOGRAPHY - MAPPING DIFFICULT ISSUES WITH OPENSTREETMAP DURING DIFFICULT TIMES,"GARCIA, DAVID; DITTUS, MARTIN",2019
INTEGRATING AND VALIDATING OPEN DATA IN OSM USING STREET PICTURES,"PAVIE, ADRIEN",2019
NEW PROCESSES TO AGREE ON TAGGING SUGGESTIONS AND THEIR INTERACTION WITH THE EDITING SOFTWARE AVAILABLE ON OPENSTREETMAP.ORG,"OLBRICHT, ROLAND",2019
INTRODUCE OPENPLACEREVIEWS AND CONNECT TO OPENSTREETMAP,"SHCHERB, VICTOR",2019
ACCESS TO PROSPERITY: QUANTIFYING INFRASTRUCTURE IMPACT WITH OSM,"LOVIN, DAVEY",2019
PEDESTRIAN ROUTING IN COMPLEX AREAS: THE CASE OF PARIS RAILWAY STATIONS,"RICHE, ANTOINE",2019
NORWAY: SUCCESSFUL DEPLOYMENT OF OSM IN PUBLIC TRANSPORT,"WIKLUND, JOHAN",2019
AUTOMATICALLY ANNOTATE A PEDESTRIAN ROUTE WITH OSM LANDMARKS,"RODRIGO, FRÉDÉRIC",2019
PUBLIC TRANSPORT NAVIGATION USING OPENSTREETMAP BY OSMAND,"SHCHERB, VICTOR; KIZEVICH, EUGENE",2019
FROM CAR ROUTING TO TRAIN ROUTING,"CHEYNET, DENIS",2019
OSM VECTOR TILES IN CUSTOM COORDINATE SYSTEMS,"KOMAREK, JIRI",2019
BRIDGING THE MAP? EXPLORING INTERACTIONS BETWEEN THE ACADEMIC AND MAPPING COMMUNITIES IN OPENSTREETMAP,"GRINBERGER, A. YAIR; MINGHINI, MARCO; JUHÁSZ, LEVENTE; MOONEY, PETER; YEBOAH, GODWIN",2019
ANALYSIS OF OSM DATA THROUGH OSM-NOTES USER POSTING,"SETO, TOSHIKAZU; KANASUGI, HIROSHI; NISHIMURA, YUICHIRO",2019
A NOVEL APPLICATION OF MODELS OF SPECIES ABUNDANCE TO BETTER UNDERSTAND OPENSTREETMAP COMMUNITY STRUCTURE AND INTERACTIONS,"MOONEY, PETER",2019
TOWARDS SCALABLE GEOSPATIAL REMOTE SENSING FOR EFFICIENT OSM LABELING,"ZHANG, RUI; FREITAG, MARCUS; ALBRECHT, CONRAD; LU, SIYUAN; ZHANG, WEI",2019
ESTIMATING LATENT ENERGY DEMAND OF BUILDINGS,"MILOJEVIC-DUPONT, NIKOLA; PICHLER, PETER-PAUL; KAACK, LYNN H.; LOHREY, STEFFEN; CREUTZIG, FELIX",2019
CLIENT-SIDE ROUTE PLANNING: PREPROCESSING THE OPENSTREETMAP ROAD NETWORK FOR ROUTABLE TILES,"DELVA, HARM; MELÉNDEZ, JULIÁN ANDRÉS ROJAS; ABELSHAUSEN, BEN; COLPAERT, PIETER; VERBORGH, RUBEN",2019
INTRINSIC ASSESSMENT OF OPENSTREETMAP CONTRIBUTION PATTERNS THROUGH EXPLORATORY SPATIAL DATA ANALYSIS,"MINGHINI, MARCO; OXOLI, DANIELE; FRASSINELLI, FRANCESCO; BROVELLI, MARIA ANTONIA",2019
CORPORATE EDITORS IN THE EVOLVING LANDSCAPE OF OPENSTREETMAP: A CLOSE INVESTIGATION OF THE IMPACT TO THE MAP & COMMUNITY,"ANDERSON, JENNINGS; SARKAR, DIPTO; PALEN, LEYSIA",2019
EXPLORING THE EFFECTS OF POKÉMON GO VANDALISM ON OPENSTREETMAP,"JUHÁSZ, LEVENTE; HOCHMAIR, HARTWIG; QIAO, SEN; NOVACK, TESSIO",2019
ANALYZING THE SPATIO-TEMPORAL PATTERNS AND IMPACTS OF LARGE-SCALE DATA PRODUCTION EVENTS IN OPENSTREETMAP,"GRINBERGER, A. YAIR; SCHOTT, MORITZ; RAIFER, MARTIN; TROILO, RAFAEL; ZIPF, ALEXANDER",2019
