Time,Title,Author
10:00,OpenStreetMap—Now and into the Future,Kate Chapman;Heather Leson
10:30,Can we validate every change on OSM?,Lukas Martinelli (Mapbox)
10:30,Making Maps Without Database,Thomas Skowron
11:30,Interpreting Imagery for OpenStreetMap,Chad Blevins
11:30,OpenMapTiles: Vector tiles from OpenStreetMap,Petr Pridal;Jiri Komarek (Klokan Technologies)
11:30,Qt to create OSM-based apps,Paolo Angelelli (The Qt Company)
12:00,Advertising mapping : using OpenStreepMap for the protection of landscape,Paul Desgranges (Grenoble (France) group of OSM contributors)
12:00,Large Scale Deep Learning for Map Making,Alina Negreanu;Bogdan Gliga (Telenav)
12:30,An excursion in to the world of OSM tagging presets,Simon Poole
12:30,How Deep Learning could help to improve OSM Data Quality ?,Olivier Courtin (DataPink)
14:10,Addressing addresses,Sarah Hoffmann
14:10,The Belgian perspective to building OpenStreetMap community,Ben Abelshausen;Joost Schouppe (OpenStreetMap Belgium)
14:40,2_ 4_ 6_ 8_ Here's How We Interpolate,Julian Simioni (geocode.earth)
14:40,A new approach to garner prolific contribution in OpenStreetMap,Kshitiz Khanal (Kathmandu Living Labs)
15:10,OsmAnd making live maps update,Victor Shcherb (OsmAnd)
15:10,Building up the Microsoft Open Maps Team,Oisin Herriott (Microsoft)
16:10,Lies_ damned lies_ and OSM statistics,Frederik Ramm
16:10,Verifying Our Edits,Bogdan Petrea;Armin Gheorghina (Telenav)
16:10,Corporate Cartography: How the sausage gets made,Paul Norman
16:40,An innovative approach to support OSM data generation,Emanuela Mihut (Phd Student (West University of Timisoara, Romania))
16:40,Mapping Competition with Focus on Quality: Lesson Learned,Yantisa Akhadi (Humanitarian OpenStreetMap Team)
17:10,Pinpointing the power grid,Sajjad Anwar (Development Seed)
17:10,Improving OSMCha for the community,Wille Marcel Lima Malheiro
17:40,Get involved in the OpenStreetMap Foundation,Gregory Marler;OSMF Working Groups
9:30,Alternative perspectives through artistic interpretations,Sebastian Meier;Hans Hack (Maptime & Vislab;Hans Hack)
9:30,What's up with the public transport,Ilya Zverev (MAPS.ME)
9:30,Coordinating improved communication between the academic and OpenStreetMap communities,Peter Mooney;Joost Schouppe;Frank Ostermann
11:30,OSM and the European agenda,Vlado Cetl (European Commission Joint Research Centre)
11:30,The use of OSM in public transport in Helsinki Finland,Markku Huotari (Helsinki Region Transport (HSL))
11:30,Human-Centered Data Science and OpenStreetMap: Contributor-Centric OpenStreetMap Analysis Infrastructure,Jennings Anderson
11:30,Some Location Intelligence from OSM,Jaak Laineste (CARTO)
12:30,Comprehensive OpenStreetMap History Data Analyses- for and with the OSM community,Michael Auer;Melanie Eckle;Sascha Fendrich;Fabian Kowatsch;Sabrina Marx;Martin Raifer;Moritz Schott;Rafael Troilo;Alexander Zipf
14:30,Flying ferries and moving pavements? Pedestrian routing on rare modes of transport,Guillaume Rischard
14:30,Investigating the OSM mapping process after disasters: OsmEventAnalyst and its application for the 2016 Italian earthquakes,Luca Delucchi;Marco Minghini
16:00,A tale of two (mapping) cities,Alsino Skowronnek;Michele Ferretti (Maptime)
16:30,OSM Community Grants: sharing experiences,Rebecca Firth (Humanitarian OpenStreetMap Team)
17:00,Working with the Community,Ryan Peterson (Apple, Inc.)
9:30,Completing the Map with Street-level Imagery,Christopher Beddow (Mapillary)
9:30,Road Completion in Belgium - Mapping & verifying *all* the roads,Ben Abelshausen (OSM Belgium)
10:00,Pic4Review : fun OSM editing based on street pictures,Adrien Pavie (Entrepreneur in geomatics)
10:00,Going to Production with OpenStreeetMap at Microsoft,Jubal Harpster (Microsoft)
10:30,Form & Map based Mobile OSM Tool for Field Survey and Validation,Kuo-Yu slayer Chuang (GeoThings Inc.)
10:30,Switch2OSM: A real enterprise context case study,Andrea Capata (Immobiliare.it)
11:30,The new Wheelmap: Joining forces in accessibility mapping – feat.: "I Wheel Share",Svenja Heinecke (Sozialhelden e.V.)
11:30,Making bot edits safe and acceptable,Yuri Astrakhan (Elastic)
12:00,Modding the OSM Data Model,Jochen Topf
12:00,Robot Tracers - Extraction and Classification at scale using & CNTK,Nikola Trifunovic (Microsoft)
12:30,Energy efficient routing with OSM,Arndt Brenschede
12:30,Reaching out to vulnerable communities in Turkey: BINA project,GÜLŞAH EKER;EZGİ ERYILMAZ (YER ÇİZENLER HERKES İÇİN HARİTACILIK DERNEĞİ)
12:30,Attracting students with Google Summer of Code,Tobias Knerr
14:00,openrouteservice - route the world dynamically,Nils Nolde (University of Heidelberg)
14:00,OSM enabled urban mobility services for the city of Yangon (Myanmar),Roberta Castelli (5T srl)
14:30,Routing on rails with OpenStreetMap,Michael Reichert
14:30,Community Mapping for Refugees in Uganda,Geoffrey Kateregga (MapUganda)
15:30,OSM at Facebook,Drishtie Patel (Facebook)
15:30,DRONEBIRDs are go!,Taichi FURUHASHI (Aoyama Gakuin University)
16:00,Indonesia Road Mapping: Challenges and Opportunities,Wulansari Khairunisa (Humanitarian OpenStreetMap Team Indonesia)
16:00,3D Beyond Buildings,Tobias Knerr
