55	119	5
55	3181	6
55	4878	6
57	914	4
57	916	4
57	3041	3
57	4459	4
76	5547	3
98	4483	9
119	3181	5
119	4878	5
122	1778	1
122	3283	3
122	5719	1
138	364	5
164	989	2
164	1901	2
164	2597	2
164	3581	4
164	4385	3
164	5719	2
187	210	1
187	539	1
187	1409	3
187	1411	1
187	1449	1
187	1778	1
187	3264	3
187	3523	1
187	4209	4
187	4706	1
210	288	1
210	1411	1
210	1449	1
210	3264	1
210	3283	1
210	3318	1
210	4209	2
210	4608	1
210	5719	3
288	409	4
288	3318	1
288	5719	2
409	891	5
409	2191	5
409	3318	2
539	1409	1
539	3264	7
539	3318	1
539	4209	1
539	5658	2
652	1117	5
652	3829	9
891	2191	4
891	3318	9
914	916	5
914	3041	3
914	3693	1
914	4459	5
916	3041	3
916	3693	2
916	4459	5
989	1901	3
989	2597	2
989	5719	3
1050	4624	5
1105	1301	1
1117	3829	5
1301	1995	5
1301	2690	1
1301	3430	1
1301	3481	3
1301	3484	1
1301	5719	8
1409	1411	1
1409	3264	2
1409	4209	6
1411	1449	1
1411	3264	1
1411	3318	1
1411	3523	3
1411	4209	4
1411	4706	1
1412	2799	4
1436	5694	2
1449	3264	1
1449	4209	5
1561	2690	1
1561	4184	1
1561	4737	1
1561	5694	2
1561	5719	1
1778	3283	1
1868	4642	5
1901	2597	5
1901	2690	3
1901	5706	1
1901	5719	5
1930	2243	4
1930	3430	3
1930	3484	1
1930	5709	6
1995	2690	1
1995	3481	3
1995	3484	1
1995	5719	2
2191	3318	1
2243	3264	2
2243	3318	2
2243	3484	1
2597	2690	2
2597	2961	3
2597	4184	2
2597	5706	2
2597	5719	10
2690	2961	1
2690	3481	1
2690	3484	1
2690	4184	2
2690	5706	1
2690	5719	7
2893	4737	5
2893	4825	3
2961	3285	1
2961	4184	2
2961	5706	2
2961	5719	5
3041	4459	3
3181	4878	6
3264	3318	4
3264	4209	3
3283	5719	4
3318	3523	1
3318	4209	1
3318	5625	3
3318	5719	1
3430	5709	4
3430	5719	4
3481	3484	1
3481	5719	3
3484	5719	5
3523	4209	3
3523	4706	2
3581	4385	5
3693	4459	1
4184	5706	1
4184	5719	5
4209	5719	1
4212	4338	6
4508	5643	5
4608	5216	5
4608	5694	1
4737	4825	6
5612	5662	3
5706	5719	3
