id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
5216	"wurm, michael"	-0.1295	0.1717	4	1	5	5	72	4.5406	2020.2	14.4	0.9081
5547	"zhang, xiang"	-0.4254	0.9861	9	1	3	7	104	6.4137	2019.4286	14.8571	0.9162
5612	"zhao, yijiang"	0.291	-1.0578	17	1	3	7	43	3.8588	2019.5714	6.1429	0.5513
5625	"zheng, jianghua"	0.0617	-0.0524	6	1	3	5	16	0.3623	2016	3.2	0.0725
5643	"zhong, yanfei"	0.5584	-0.7988	16	1	5	7	96	9.5565	2022.2857	13.7143	1.3652
5658	"zhou, qi"	0.7095	0.1762	1	1	2	13	159	15.9006	2020.5385	12.2308	1.2231
5662	"zhou, xiaoguang"	0.2768	-0.9871	17	1	3	6	42	2.1407	2016.3333	7	0.3568
5694	"zhu, xiao xiang"	-0.2216	-0.0071	4	3	5	15	487	30.8334	2019.9333	32.4667	2.0556
5706	"zia, mohammed"	-0.526	-0.1662	2	6	10	5	40	3.1524	2020.4	8	0.6305
5709	"zielstra, dennis"	0.2997	-0.4943	3	2	10	7	298	9.743	2013.1429	42.5714	1.3919
5719	"zipf, alexander"	-0.1118	-0.2191	2	20	75	56	2255	111.5728	2017.9821	40.2679	1.9924
